0.000252,0.001081,0.002218,-0.000419,0.011179,0.000055,0.000776,-0.372000,-0.031500,0.053000,0.165000,0.186400,0.210400,0.189600,0.000000
0.000280,0.001061,0.002218,-0.000412,0.011206,0.000062,0.000755,-0.339000,-0.066000,0.053000,0.236000,0.179200,0.268000,0.184000,0.000000
0.000272,0.001087,0.002218,-0.000419,0.011185,0.000062,0.000742,-0.301500,-0.036000,0.068000,0.234000,0.170400,0.247200,0.179200,0.000000
0.000255,0.001073,0.002218,-0.000412,0.011185,0.000055,0.000762,-0.355500,-0.037500,0.087000,0.220000,0.157600,0.280000,0.181600,0.000000
0.000280,0.001067,0.002245,-0.000426,0.011179,0.000048,0.000762,-0.363000,-0.085500,0.094000,0.173000,0.162400,0.266400,0.210400,0.000000
0.000246,0.001059,0.002218,-0.000426,0.011172,0.000055,0.000776,-0.301500,-0.040500,0.063000,0.208000,0.184000,0.265600,0.179200,0.000000
0.000280,0.001070,0.002204,-0.000412,0.011206,0.000048,0.000755,-0.295500,-0.079500,0.050000,0.197000,0.170400,0.260000,0.168000,0.000000
0.000269,0.001073,0.002232,-0.000419,0.011158,0.000055,0.000769,-0.307500,-0.090000,0.049000,0.192000,0.200000,0.172800,0.184800,0.000000
0.000278,0.001067,0.002211,-0.000426,0.011172,0.000062,0.000755,-0.337500,-0.088500,0.093000,0.182000,0.199200,0.221600,0.184800,0.000000
0.000275,0.001070,0.002245,-0.000405,0.011172,0.000062,0.000783,-0.342000,-0.082500,0.132000,0.174000,0.171200,0.235200,0.196800,0.000000
0.000272,0.001076,0.002211,-0.000412,0.011179,0.000069,0.000776,-0.316500,-0.135000,0.072000,0.156000,0.184000,0.206400,0.199200,0.000000
0.000260,0.001084,0.002225,-0.000426,0.011179,0.000055,0.000762,-0.322500,-0.118500,0.092000,0.183000,0.161600,0.293600,0.176000,0.000000
0.000295,0.001076,0.002225,-0.000391,0.011185,0.000062,0.000769,-0.256500,-0.100500,0.061000,0.157000,0.189600,0.220800,0.184800,0.000000
0.000255,0.001067,0.002197,-0.000419,0.011179,0.000076,0.000755,-0.327000,-0.139500,0.084000,0.207000,0.188000,0.236800,0.211200,0.000000
0.000280,0.001070,0.002225,-0.000419,0.011185,0.000069,0.000776,-0.294000,-0.160500,0.093000,0.165000,0.158400,0.236800,0.203200,0.000000
0.000280,0.001076,0.002225,-0.000419,0.011185,0.000055,0.000755,-0.283500,-0.094500,0.072000,0.186000,0.210400,0.240800,0.180000,0.000000
0.000266,0.001076,0.002211,-0.000419,0.011192,0.000055,0.000776,-0.306000,-0.126000,0.097000,0.160000,0.189600,0.231200,0.190400,0.000000
0.000275,0.001076,0.002232,-0.000412,0.011179,0.000041,0.000769,-0.331500,-0.147000,0.088000,0.191000,0.180800,0.254400,0.193600,0.000000
0.000263,0.001076,0.002211,-0.000391,0.011158,0.000048,0.000762,-0.379500,-0.150000,0.048000,0.171000,0.171200,0.249600,0.208000,0.000000
0.000255,0.001076,0.002218,-0.000426,0.011165,0.000034,0.000769,-0.313500,-0.126000,0.081000,0.168000,0.180800,0.304800,0.174400,0.000000
0.000280,0.001076,0.002218,-0.000412,0.011179,0.000055,0.000762,-0.312000,-0.165000,0.083000,0.172000,0.183200,0.267200,0.193600,0.000000
0.000272,0.001073,0.002218,-0.000412,0.011179,0.000076,0.000769,-0.334500,-0.108000,0.041000,0.144000,0.187200,0.299200,0.186400,0.000000
0.000257,0.001064,0.002225,-0.000426,0.011165,0.000041,0.000762,-0.292500,-0.198000,0.082000,0.229000,0.184800,0.250400,0.199200,0.000000
0.000266,0.001064,0.002218,-0.000371,0.011192,0.000041,0.000762,-0.291000,-0.187500,0.082000,0.175000,0.204000,0.232800,0.176000,0.000000
0.000260,0.001076,0.002218,-0.000412,0.011185,0.000062,0.000776,-0.315000,-0.193500,0.069000,0.166000,0.198400,0.251200,0.190400,0.000000
0.000280,0.001067,0.002218,-0.000419,0.011158,0.000069,0.000755,-0.286500,-0.208500,0.081000,0.150000,0.181600,0.296000,0.182400,0.000000
0.000269,0.001076,0.002225,-0.000398,0.011165,0.000055,0.000762,-0.247500,-0.213000,0.054000,0.164000,0.208000,0.241600,0.183200,0.000000
0.000286,0.001079,0.002238,-0.000412,0.011185,0.000034,0.000762,-0.316500,-0.180000,0.077000,0.149000,0.172800,0.237600,0.167200,0.000000
0.000263,0.001064,0.002211,-0.000405,0.011179,0.000048,0.000755,-0.324000,-0.165000,0.113000,0.130000,0.179200,0.229600,0.173600,0.000000
0.000275,0.001073,0.002225,-0.000391,0.011165,0.000055,0.000742,-0.345000,-0.178500,0.101000,0.138000,0.174400,0.265600,0.154400,0.000000
0.000263,0.001076,0.002218,-0.000405,0.011192,0.000062,0.000755,-0.316500,-0.189000,0.082000,0.165000,0.166400,0.252000,0.173600,0.000000
0.000255,0.001053,0.002218,-0.000433,0.011165,0.000062,0.000748,-0.318000,-0.226500,0.084000,0.158000,0.157600,0.236800,0.192000,0.000000
0.000266,0.001073,0.002225,-0.000405,0.011151,0.000062,0.000762,-0.300000,-0.219000,0.066000,0.140000,0.185600,0.232000,0.170400,0.000000
0.000275,0.001067,0.002218,-0.000405,0.011165,0.000062,0.000762,-0.279000,-0.091500,0.096000,0.132000,0.159200,0.249600,0.191200,0.000000
0.000257,0.001081,0.002218,-0.000412,0.011165,0.000048,0.000762,-0.289500,-0.168000,0.090000,0.175000,0.176800,0.237600,0.181600,0.000000
0.000263,0.001073,0.002204,-0.000426,0.011192,0.000055,0.000769,-0.234000,-0.208500,0.093000,0.137000,0.184800,0.237600,0.179200,0.000000
0.000260,0.001070,0.002225,-0.000412,0.011165,0.000062,0.000776,-0.285000,-0.219000,0.102000,0.179000,0.201600,0.255200,0.216800,0.000000
0.000278,0.001079,0.002232,-0.000405,0.011206,0.000055,0.000755,-0.328500,-0.172500,0.088000,0.119000,0.184000,0.237600,0.168000,0.000000
0.000257,0.001073,0.002204,-0.000412,0.011213,0.000048,0.000769,-0.297000,-0.157500,0.089000,0.175000,0.216800,0.237600,0.198400,0.000000
0.000275,0.001076,0.002218,-0.000412,0.011179,0.000062,0.000748,-0.357000,-0.204000,0.088000,0.133000,0.210400,0.249600,0.187200,0.000000
0.000269,0.001073,0.002218,-0.000426,0.011192,0.000069,0.000783,-0.322500,-0.190500,0.114000,0.153000,0.237600,0.242400,0.209600,0.000000
0.000260,0.001064,0.002218,-0.000412,0.011172,0.000076,0.000748,-0.304500,-0.172500,0.052000,0.153000,0.208000,0.222400,0.205600,0.000000
0.000269,0.001067,0.002218,-0.000412,0.011172,0.000048,0.000769,-0.343500,-0.144000,0.066000,0.166000,0.193600,0.264000,0.187200,0.000000
0.000278,0.001070,0.002218,-0.000405,0.011192,0.000055,0.000755,-0.336000,-0.172500,0.091000,0.168000,0.222400,0.229600,0.185600,0.000000
0.000263,0.001079,0.002218,-0.000412,0.011172,0.000062,0.000762,-0.304500,-0.175500,0.068000,0.165000,0.218400,0.192000,0.196800,0.000000
0.000266,0.001079,0.002211,-0.000412,0.011179,0.000062,0.000762,-0.267000,-0.121500,0.067000,0.168000,0.200000,0.205600,0.180000,0.000000
