-0.000968,0.000124,0.000130,0.001305,0.001923,-0.002424,0.021423,0.203000,-0.129000,-0.083200,-0.158400,-0.204800,0.165600,-0.401600,0.000000
-0.000982,0.000130,0.000165,0.001270,0.001964,-0.002444,0.021403,0.186000,-0.133000,-0.056000,-0.127200,-0.158400,0.136000,-0.340800,0.000000
-0.000968,0.000137,0.000137,0.001270,0.001950,-0.002431,0.021403,0.190000,-0.121000,-0.054400,-0.135200,-0.152000,0.120000,-0.366400,0.000000
-0.000996,0.000110,0.000158,0.001263,0.001943,-0.002424,0.021403,0.208000,-0.151000,-0.048000,-0.151200,-0.217600,0.168800,-0.339200,0.000000
-0.000975,0.000137,0.000137,0.001291,0.001957,-0.002438,0.021403,0.177000,-0.134000,-0.069600,-0.121600,-0.182400,0.154400,-0.361600,0.000000
-0.000996,0.000130,0.000144,0.001291,0.001957,-0.002431,0.021410,0.168000,-0.121000,-0.021600,-0.162400,-0.170400,0.164800,-0.345600,0.000000
-0.001003,0.000130,0.000130,0.001291,0.001950,-0.002444,0.021410,0.197000,-0.135000,-0.029600,-0.141600,-0.180000,0.128800,-0.371200,0.000000
-0.000961,0.000130,0.000124,0.001298,0.001936,-0.002438,0.021403,0.199000,-0.125000,-0.083200,-0.148800,-0.201600,0.188800,-0.395200,0.000000
-0.000996,0.000130,0.000144,0.001284,0.001964,-0.002424,0.021410,0.164000,-0.100000,-0.023200,-0.107200,-0.181600,0.140800,-0.384800,0.000000
-0.000975,0.000103,0.000151,0.001284,0.001936,-0.002444,0.021403,0.214000,-0.102000,-0.061600,-0.124000,-0.188800,0.179200,-0.320800,0.000000
-0.000954,0.000110,0.000124,0.001270,0.001936,-0.002424,0.021389,0.187000,-0.138000,-0.039200,-0.198400,-0.176800,0.180000,-0.361600,0.000000
-0.000975,0.000117,0.000144,0.001291,0.001943,-0.002438,0.021410,0.183000,-0.152000,-0.069600,-0.190400,-0.192000,0.151200,-0.356000,0.000000
-0.000961,0.000124,0.000158,0.001277,0.001950,-0.002438,0.021375,0.182000,-0.154000,-0.083200,-0.112000,-0.166400,0.167200,-0.356800,0.000000
-0.000975,0.000124,0.000151,0.001291,0.001957,-0.002438,0.021416,0.202000,-0.130000,-0.069600,-0.177600,-0.208800,0.211200,-0.344800,0.000000
-0.000996,0.000130,0.000137,0.001277,0.001957,-0.002431,0.021416,0.195000,-0.139000,-0.034400,-0.167200,-0.189600,0.160800,-0.371200,0.000000
-0.000975,0.000124,0.000137,0.001305,0.001936,-0.002431,0.021416,0.170000,-0.138000,-0.061600,-0.150400,-0.176000,0.144000,-0.347200,0.000000
-0.000954,0.000117,0.000117,0.001270,0.001950,-0.002444,0.021416,0.180000,-0.131000,-0.045600,-0.148800,-0.193600,0.172800,-0.389600,0.000000
-0.000982,0.000124,0.000117,0.001263,0.001957,-0.002431,0.021396,0.194000,-0.158000,-0.065600,-0.144000,-0.196000,0.144000,-0.360800,0.000000
-0.000975,0.000117,0.000172,0.001270,0.001957,-0.002438,0.021410,0.158000,-0.138000,-0.034400,-0.146400,-0.188000,0.156000,-0.375200,0.000000
-0.000975,0.000110,0.000110,0.001291,0.001950,-0.002431,0.021423,0.229000,-0.121000,-0.074400,-0.147200,-0.188000,0.179200,-0.369600,0.000000
